ts_year,ts_month,ts_day,ts_hour,ts_min,ts_second,active_cores,total_cores,frequency,avg_load,temperature
2023,1,22,23,23,59,12,12,3700.041504,2.250000,68.250000
2023,1,22,23,24,0,2,12,3600.040283,0.833333,68.875000
2023,1,22,23,24,1,8,12,3720.041748,1.083333,70.125000
2023,1,22,23,24,2,3,12,3700.041504,0.333333,69.625000
2023,1,22,23,24,3,2,12,3700.041504,0.166667,68.750000
2023,1,22,23,24,4,4,12,3600.040283,1.416667,68.625000
2023,1,22,23,24,5,4,12,3660.041016,0.916667,68.500000
2023,1,22,23,24,6,8,12,4500.050293,1.416667,68.500000
2023,1,22,23,24,7,4,12,3700.041504,0.583333,68.875000
2023,1,22,23,24,8,2,12,3640.041016,0.250000,68.250000
2023,1,22,23,24,9,7,12,3700.041504,1.000000,69.125000
2023,1,22,23,24,10,3,12,3640.041016,1.583333,70.125000
2023,1,22,23,24,11,3,12,3700.041504,0.500000,69.500000
2023,1,22,23,24,12,7,12,3740.041992,0.833333,68.625000
2023,1,22,23,24,13,1,12,3700.041504,0.166667,68.125000
2023,1,22,23,24,14,2,12,3600.040283,0.833333,68.000000
2023,1,22,23,24,15,9,12,3680.041260,1.250000,67.750000
2023,1,22,23,24,16,2,12,3600.040283,0.166667,66.875000
2023,1,22,23,24,17,2,12,3700.041504,0.166667,66.250000
2023,1,22,23,24,18,7,12,2880.032227,0.666667,65.375000
2023,1,22,23,24,19,3,12,3700.041504,1.166667,66.125000
2023,1,22,23,24,20,2,12,4550.051270,0.833333,66.000000
2023,1,22,23,24,21,3,12,3720.041748,0.333333,66.000000
2023,1,22,23,24,22,5,12,3700.041504,0.500000,65.375000
2023,1,22,23,24,23,1,12,3740.041992,0.416667,65.125000
2023,1,22,23,24,24,4,12,3600.040283,1.750000,65.625000
2023,1,22,23,24,25,11,12,4525.050781,2.250000,69.125000
2023,1,22,23,24,26,2,12,3620.040771,0.833333,69.500000
2023,1,22,23,24,27,8,12,3600.040283,0.750000,69.125000
2023,1,22,23,24,28,3,12,3640.041016,1.000000,69.000000
2023,1,22,23,24,29,5,12,3600.040283,1.250000,69.375000
2023,1,22,23,24,30,7,12,3680.041260,1.083333,68.375000
2023,1,22,23,24,31,6,12,3600.040283,0.916667,68.125000
2023,1,22,23,24,32,2,12,3680.041260,0.416667,68.375000
2023,1,22,23,24,33,3,12,4550.051270,0.500000,68.000000
2023,1,22,23,24,34,6,12,3660.041016,1.583333,69.000000
2023,1,22,23,24,35,7,12,3700.041504,1.000000,68.625000
2023,1,22,23,24,36,1,12,3680.041260,0.083333,67.750000
2023,1,22,23,24,37,5,12,3680.041260,0.583333,68.375000
2023,1,22,23,24,38,8,12,3600.040283,1.083333,69.375000
2023,1,22,23,24,39,7,12,3660.041016,1.750000,69.625000
